alpha,mu,m0,blowup_step_gamma_0,blowup_step_gamma_0.05,blowup_step_gamma_0.2
0.0001,0.001,50,38,37,35
0.0001,0.0016681005,50,41,40,38
0.0001,0.0027825594,50,47,46,43
0.00021544347,0.001,50,19,19,18
0.00021544347,0.0016681005,50,19,19,18
0.00021544347,0.0027825594,50,20,20,19
0.00021544347,0.0046415888,50,22,22,21
0.00021544347,0.0077426368,50,28,27,25
0.00046415888,0.001,50,11,11,10
0.00046415888,0.0016681005,50,11,11,10
0.00046415888,0.0027825594,50,11,11,10
0.00046415888,0.0046415888,50,11,11,11
0.00046415888,0.0077426368,50,12,12,11
0.00046415888,0.012915497,50,13,13,12
0.00046415888,0.021544347,50,19,18,16
0.001,0.001,50,7,7,7
0.001,0.0016681005,50,7,7,7
0.001,0.0027825594,50,7,7,7
0.001,0.0046415888,50,7,7,7
0.001,0.0077426368,50,7,7,7
0.001,0.012915497,50,7,7,7
0.001,0.021544347,50,8,8,7
0.001,0.035938137,50,9,9,8
0.0021544347,0.001,20,70,69,65
0.0021544347,0.001,50,5,5,5
0.0021544347,0.0016681005,20,75,74,70
0.0021544347,0.0016681005,50,5,5,5
0.0021544347,0.0027825594,20,87,85,79
0.0021544347,0.0027825594,50,5,5,5
0.0021544347,0.0046415888,20,126,120,107
0.0021544347,0.0046415888,50,5,5,5
0.0021544347,0.0077426368,50,5,5,5
0.0021544347,0.012915497,50,5,5,5
0.0021544347,0.021544347,50,5,5,5
0.0021544347,0.035938137,50,5,5,5
0.0021544347,0.059948425,50,6,6,5
0.0021544347,0.1,50,7,7,7
0.0046415888,0.001,20,33,33,31
0.0046415888,0.001,50,4,4,4
0.0046415888,0.0016681005,20,34,34,32
0.0046415888,0.0016681005,50,4,4,4
0.0046415888,0.0027825594,20,36,35,34
0.0046415888,0.0027825594,50,4,4,4
0.0046415888,0.0046415888,20,40,39,37
0.0046415888,0.0046415888,50,4,4,4
0.0046415888,0.0077426368,20,49,47,44
0.0046415888,0.0077426368,50,4,4,4
0.0046415888,0.012915497,50,4,4,4
0.0046415888,0.021544347,50,4,4,4
0.0046415888,0.035938137,50,4,4,4
0.0046415888,0.059948425,50,4,4,4
0.0046415888,0.1,50,4,4,4
0.01,0.001,10,74,73,70
0.01,0.001,20,17,17,16
0.01,0.001,50,3,3,3
0.01,0.0016681005,10,78,77,73
0.01,0.0016681005,20,18,17,17
0.01,0.0016681005,50,3,3,3
0.01,0.0027825594,10,86,84,80
0.01,0.0027825594,20,18,18,17
0.01,0.0027825594,50,3,3,3
0.01,0.0046415888,10,106,103,97
0.01,0.0046415888,20,19,18,17
0.01,0.0046415888,50,3,3,3
0.01,0.0077426368,20,20,19,18
0.01,0.0077426368,50,3,3,3
0.01,0.012915497,20,22,22,21
0.01,0.012915497,50,3,3,3
0.01,0.021544347,20,31,30,27
0.01,0.021544347,50,3,3,3
0.01,0.035938137,50,3,3,3
0.01,0.059948425,50,3,3,3
0.01,0.1,50,3,3,3
