step,D_total,k_total,total_M,n_active,n_dormant,convergence,texture_type,a_env,K_env,innovation_potential,n_self_metatheses,n_absorptive_cross,n_novel_cross,n_env_transitions,temporal_state_counts
0,11,1.8945296796851983,97.44113896963242,10,0,1.0,1,3.0,200000.0,199902.55886103038,0,0,0,0,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
1,11,3.907914204646544,98.9673177997456,10,0,1.0,1,3.0,200000.0,199901.03268220025,0,0,0,0,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
2,11,6.0594192102985645,100.6239862163989,10,0,1.0,1,3.0,200000.0,199899.3760137836,0,0,0,0,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
3,11,8.373858813596827,102.43530588861518,10,0,1.0,1,3.0,200000.0,199897.56469411138,0,0,0,0,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
4,11,10.884097008143746,104.43336755371901,10,0,1.0,1,3.0,200000.0,199895.56663244628,0,0,0,0,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
5,12,13.635208734757164,106.66231244256383,10,0,1.0,1,3.0,200000.0,199893.33768755745,1,0,0,0,"{0: 0, 1: 0, 2: 9, 3: 1, 4: 0}"
6,12,16.69187824372866,109.18567038932251,10,0,1.0,1,3.0,200000.0,199890.81432961067,1,0,0,0,"{0: 0, 1: 0, 2: 9, 3: 1, 4: 0}"
7,13,20.152749918121383,112.10061371176863,10,0,1.0,1,3.0,200000.0,199887.89938628822,2,0,0,0,"{0: 0, 1: 0, 2: 8, 3: 2, 4: 0}"
8,14,24.181768558124617,115.56912928321302,10,0,1.0,1,3.0,200000.0,199884.43087071678,3,0,0,0,"{0: 0, 1: 0, 2: 7, 3: 3, 4: 0}"
9,15,29.08932712089249,119.89884219956483,10,0,1.0,1,3.0,200000.0,199880.10115780044,4,0,0,0,"{0: 0, 1: 0, 2: 6, 3: 4, 4: 0}"
