m_star,alpha,mu
5,1e-05,2.8325195e-06
5,1.268961e-05,3.5943568e-06
5,1.610262e-05,4.5610986e-06
5,2.0433597e-05,5.7878563e-06
5,2.5929438e-05,7.3445639e-06
5,3.2903446e-05,9.3199652e-06
5,4.1753189e-05,1.1826672e-05
5,5.2983169e-05,1.5007586e-05
5,6.7233575e-05,1.9044042e-05
5,8.5316785e-05,2.4166146e-05
5,0.00010826367,3.0665897e-05
5,0.00013738238,3.8913827e-05
5,0.00017433288,4.9380129e-05
5,0.00022122163,6.2661459e-05
5,0.00028072162,7.9514947e-05
5,0.00035622479,0.00010090137
5,0.00045203537,0.0001280399
5,0.00057361525,0.00016247764
5,0.00072789538,0.00020617779
5,0.00092367086,0.00026163157
5,0.0011721023,0.00033200027
5,0.0014873521,0.00042129539
5,0.0018873918,0.00053460742
5,0.0023950266,0.00067839597
5,0.0030391954,0.00086085803
5,0.0038566204,0.0010923953
5,0.0048939009,0.001386207
5,0.0062101694,0.0017590426
5,0.0078804628,0.0022321565
5,0.01,0.0028325195
10,1e-05,7.9785682e-06
10,1.268961e-05,1.0124492e-05
10,1.610262e-05,1.2847585e-05
10,2.0433597e-05,1.6303085e-05
10,2.5929438e-05,2.0687979e-05
10,3.2903446e-05,2.6252239e-05
10,4.1753189e-05,3.3313067e-05
10,5.2983169e-05,4.2272983e-05
10,6.7233575e-05,5.3642767e-05
10,8.5316785e-05,6.8070579e-05
10,0.00010826367,8.637891e-05
10,0.00013738238,0.00010961147
10,0.00017433288,0.00013909268
10,0.00022122163,0.00017650319
10,0.00028072162,0.00022397566
10,0.00035622479,0.00028421638
10,0.00045203537,0.0003606595
10,0.00057361525,0.00045766284
10,0.00072789538,0.0005807563
10,0.00092367086,0.00073695709
10,0.0011721023,0.00093516981
10,0.0014873521,0.001186694
10,0.0018873918,0.0015058684
10,0.0023950266,0.0019108883
10,0.0030391954,0.0024248428
10,0.0038566204,0.0030770309
10,0.0048939009,0.0039046322
10,0.0062101694,0.004954826
10,0.0078804628,0.006287481
10,0.01,0.0079785682
20,1e-05,2.8180375e-05
20,1.268961e-05,3.5759797e-05
20,1.610262e-05,4.5377788e-05
20,2.0433597e-05,5.7582644e-05
20,2.5929438e-05,7.307013e-05
20,3.2903446e-05,9.2723145e-05
20,4.1753189e-05,0.00011766205
20,5.2983169e-05,0.00014930856
20,6.7233575e-05,0.00018946674
20,8.5316785e-05,0.0002404259
20,0.00010826367,0.0003050911
20,0.00013738238,0.0003871487
20,0.00017433288,0.00049127661
20,0.00022122163,0.00062341085
20,0.00028072162,0.00079108406
20,0.00035622479,0.0010038548
20,0.00045203537,0.0012738526
20,0.00057361525,0.0016164693
20,0.00072789538,0.0020512365
20,0.00092367086,0.0026029391
20,0.0011721023,0.0033030283
20,0.0014873521,0.0041914141
20,0.0018873918,0.005318741
20,0.0023950266,0.0067492749
20,0.0030391954,0.0085645667
20,0.0038566204,0.010868101
20,0.0048939009,0.013791196
20,0.0062101694,0.017500491
20,0.0078804628,0.02220744
20,0.01,0.028180375
50,1e-05,0.00056615818
50,1.268961e-05,0.00071843266
50,1.610262e-05,0.00091166302
50,2.0433597e-05,0.0011568648
50,2.5929438e-05,0.0014680163
50,3.2903446e-05,0.0018628555
50,4.1753189e-05,0.002363891
50,5.2983169e-05,0.0029996855
50,6.7233575e-05,0.0038064839
50,8.5316785e-05,0.0048302796
50,0.00010826367,0.0061294365
50,0.00013738238,0.0077780158
50,0.00017433288,0.0098699988
50,0.00022122163,0.012524644
50,0.00028072162,0.015893284
50,0.00035622479,0.020167958
50,0.00045203537,0.025592352
50,0.00057361525,0.032475697
50,0.00072789538,0.041210393
50,0.00092367086,0.052294381
50,0.0011721023,0.066359531
50,0.0014873521,0.084207657
50,0.0018873918,0.10685623
50,0.0023950266,0.13559639
50,0.0030391954,0.17206653
50,0.0038566204,0.21834572
50,0.0048939009,0.27707221
50,0.0062101694,0.35159382
50,0.0078804628,0.44615885
50,0.01,0.56615818
100,1e-05,0.10430311
100,1.268961e-05,0.13235658
100,1.610262e-05,0.16795534
100,2.0433597e-05,0.21312878
100,2.5929438e-05,0.27045211
100,3.2903446e-05,0.34319318
100,4.1753189e-05,0.43549876
100,5.2983169e-05,0.55263094
100,6.7233575e-05,0.70126711
100,8.5316785e-05,0.88988062
100,0.00010826367,1.1292238
100,0.00013738238,1.432941
100,0.00017433288,1.8183462
100,0.00022122163,2.3074104
100,0.00028072162,2.9280139
100,0.00035622479,3.7155354
100,0.00045203537,4.7148695
100,0.00057361525,5.9829856
100,0.00072789538,7.5921754
100,0.00092367086,9.6341745
100,0.0011721023,12.225392
100,0.0014873521,15.513545
100,0.0018873918,19.686084
100,0.0023950266,24.980873
100,0.0030391954,31.699754
100,0.0038566204,40.225751
100,0.0048939009,51.044909
100,0.0062101694,64.773999
100,0.0078804628,82.195679
100,0.01,104.30311
