alpha,mu,m_star,m0,steps,final_M,final_Xi,regime,xi_plateau,under_resolved
1e-05,0.001,55.665599,58.448879,40,59.351103,0.16409023,exponential,0.011715619,True
1e-05,0.0016681005,60.706807,63.742147,40,65.927817,0.3275122,exponential,0.022089587,True
1e-05,0.0027825594,65.698797,68.983737,40,75.738127,0.74013283,exponential,0.041632007,False
1e-05,0.0046415888,70.645634,74.177916,40,inf,inf,explosive,0.079105663,False
1e-05,0.0077426368,75.551766,79.329354,40,inf,inf,explosive,0.15415886,False
1e-05,0.012915497,80.421506,84.442581,40,inf,inf,explosive,0.32067518,False
1e-05,0.021544347,85.258807,89.521747,40,inf,inf,explosive,0.79802973,False
1e-05,0.035938137,90.067185,94.570545,40,inf,inf,explosive,inf,False
1e-05,0.059948425,94.849719,99.592205,40,inf,inf,explosive,inf,False
1e-05,0.1,99.609083,104.58954,40,inf,inf,explosive,inf,False
2.1544347e-05,0.001,48.006596,50.406926,40,51.031566,0.13365263,exponential,0.0096641639,True
2.1544347e-05,0.0016681005,53.125614,55.781895,40,57.285816,0.2655136,exponential,0.018450882,True
2.1544347e-05,0.0027825594,58.192571,61.102199,40,65.352249,0.56578871,exponential,0.035075937,False
2.1544347e-05,0.0046415888,63.208718,66.369154,40,157.55139,5.2504693,precursor-active,0.06689696,False
2.1544347e-05,0.0077426368,68.177583,71.586462,40,inf,inf,explosive,0.12980929,False
2.1544347e-05,0.012915497,73.103511,76.758687,40,inf,inf,explosive,0.26438693,False
2.1544347e-05,0.021544347,77.990928,81.890474,40,inf,inf,explosive,0.61471519,False
2.1544347e-05,0.035938137,82.843981,86.98618,40,inf,inf,explosive,inf,False
2.1544347e-05,0.059948425,87.666409,92.04973,40,inf,inf,explosive,inf,False
2.1544347e-05,0.1,92.461507,97.084582,40,inf,inf,explosive,inf,False
4.6415888e-05,0.001,40.241018,42.253069,40,42.664991,0.10630889,plateau,0.0077618532,True
4.6415888e-05,0.0016681005,45.428418,47.699839,40,48.698829,0.21220668,exponential,0.015079933,True
4.6415888e-05,0.0027825594,50.57254,53.101167,40,55.794147,0.43957299,exponential,0.029037257,False
4.6415888e-05,0.0046415888,55.665599,58.448879,40,69.955161,1.1567507,precursor-active,0.055801159,False
4.6415888e-05,0.0077426368,60.706807,63.742147,40,inf,inf,explosive,0.10828137,False
4.6415888e-05,0.012915497,65.698797,68.983737,40,inf,inf,explosive,0.21740537,False
4.6415888e-05,0.021544347,70.645634,74.177916,40,inf,inf,explosive,0.48045785,False
4.6415888e-05,0.035938137,75.551766,79.329354,40,inf,inf,explosive,311.94142,False
4.6415888e-05,0.059948425,80.421506,84.442581,40,inf,inf,explosive,inf,False
4.6415888e-05,0.1,85.258807,89.521747,40,inf,inf,explosive,inf,False
0.0001,0.001,32.430137,34.051643,40,34.307433,0.081767612,plateau,0.0060123128,True
0.0001,0.0016681005,37.636857,39.5187,40,40.151377,0.16571794,exponential,0.011969645,True
0.0001,0.0027825594,42.839224,44.981185,40,46.654082,0.34052896,exponential,0.023480159,True
0.0001,0.0046415888,48.006596,50.406926,40,56.079389,0.77572418,exponential,0.045694398,False
0.0001,0.0077426368,53.125614,55.781895,40,inf,inf,explosive,0.089121307,False
0.0001,0.012915497,58.192571,61.102199,40,inf,inf,explosive,0.17759327,False
0.0001,0.021544347,63.208718,66.369154,40,inf,inf,explosive,0.37845124,False
0.0001,0.035938137,68.177583,71.586462,40,inf,inf,explosive,0.99059661,False
0.0001,0.059948425,73.103511,76.758687,40,inf,inf,explosive,inf,False
0.0001,0.1,77.990928,81.890474,40,inf,inf,explosive,inf,False
0.00021544347,0.001,24.75167,25.989254,40,26.137644,0.060004737,plateau,0.0044332745,True
0.00021544347,0.0016681005,29.842098,31.334203,40,31.711868,0.12497183,plateau,0.0091291426,True
0.00021544347,0.0027825594,35.031171,36.78273,40,37.782434,0.25912712,exponential,0.018389403,True
0.00021544347,0.0046415888,40.241018,42.253069,40,45.323059,0.56103975,exponential,0.036488422,False
0.00021544347,0.0077426368,45.428418,47.699839,40,74.943212,2.1883964,precursor-active,0.071982285,False
0.00021544347,0.012915497,50.57254,53.101167,40,inf,inf,explosive,0.14340771,False
0.00021544347,0.021544347,55.665599,58.448879,40,inf,inf,explosive,0.29846488,False
0.00021544347,0.035938137,60.706807,63.742147,40,inf,inf,explosive,0.71318396,False
0.00021544347,0.059948425,65.698797,68.983737,40,inf,inf,explosive,inf,False
0.00021544347,0.1,70.645634,74.177916,40,inf,inf,explosive,inf,False
0.00046415888,0.001,17.583865,18.463058,40,18.543845,0.041363962,plateau,0.0030651015,True
0.00046415888,0.0016681005,22.280146,23.394153,40,23.605544,0.089643315,plateau,0.006596346,True
0.00046415888,0.0027825594,27.277986,28.641885,40,29.208987,0.19064961,exponential,0.013784288,True
0.00046415888,0.0046415888,32.430137,34.051643,40,35.718864,0.40901426,exponential,0.028142099,True
0.00046415888,0.0077426368,37.636857,39.5187,40,46.580572,1.0071278,exponential,0.056617631,False
0.00046415888,0.012915497,42.839224,44.981185,40,inf,inf,explosive,0.11373315,False
0.00046415888,0.021544347,48.006596,50.406926,40,inf,inf,explosive,0.23401246,False
0.00046415888,0.035938137,53.125614,55.781895,40,inf,inf,explosive,0.52612349,False
0.00046415888,0.059948425,58.192571,61.102199,40,inf,inf,explosive,4722584.9,False
0.00046415888,0.1,63.208718,66.369154,40,inf,inf,explosive,inf,False
0.001,0.001,11.500765,12.075803,120,12.213691,0.081661616,plateau,0.0019783569,True
0.001,0.0016681005,15.405195,16.175455,120,16.569917,0.18780732,exponential,0.0044815729,True
0.001,0.0027825594,19.883407,20.877577,120,22.169294,0.43201824,exponential,0.0098567286,False
0.001,0.0046415888,24.75167,25.989254,120,32.92797,1.1528297,exponential,0.021170412,False
0.001,0.0077426368,29.842098,31.334203,120,inf,inf,explosive,0.045181164,False
0.001,0.012915497,35.031171,36.78273,40,inf,inf,explosive,0.087793991,False
0.001,0.021544347,40.241018,42.253069,40,inf,inf,explosive,0.18086445,False
0.001,0.035938137,45.428418,47.699839,40,inf,inf,explosive,0.39219114,False
0.001,0.059948425,50.57254,53.101167,40,inf,inf,explosive,1.0274172,False
0.001,0.1,55.665599,58.448879,40,inf,inf,explosive,inf,False
0.0021544347,0.001,7.0051544,7.3554122,120,7.4287271,0.049164851,plateau,0.0011937599,True
0.0021544347,0.0016681005,9.8115353,10.302112,120,10.501958,0.11676626,exponential,0.0028080118,True
0.0021544347,0.0027825594,13.370616,14.039147,120,14.650897,0.27581633,exponential,0.0064665432,True
0.0021544347,0.0046415888,17.583865,18.463058,120,20.90783,0.67654542,exponential,0.014506169,False
0.0021544347,0.0077426368,22.280146,23.394153,120,inf,inf,explosive,0.031901522,False
0.0021544347,0.012915497,27.277986,28.641885,40,36.342514,1.1911851,exponential,0.065145871,False
0.0021544347,0.021544347,32.430137,34.051643,40,inf,inf,explosive,0.1362717,False
0.0021544347,0.035938137,37.636857,39.5187,40,inf,inf,explosive,0.29137097,False
0.0021544347,0.059948425,42.839224,44.981185,40,inf,inf,explosive,0.69367235,False
0.0021544347,0.1,48.006596,50.406926,40,inf,inf,explosive,inf,False
0.0046415888,0.001,4.15382,4.361511,120,4.4051048,0.029159638,plateau,0.0007080159,True
0.0046415888,0.0016681005,5.8847402,6.1789772,120,6.287391,0.06939812,exponential,0.0016733783,True
0.0046415888,0.0027825594,8.3123301,8.7279467,120,9.033669,0.16716976,exponential,0.0039653429,True
0.0046415888,0.0046415888,11.500765,12.075803,120,13.127458,0.40993322,exponential,0.0092708543,False
0.0046415888,0.0077426368,15.405195,16.175455,120,23.093818,1.208188,exponential,0.021238321,False
0.0046415888,0.012915497,19.883407,20.877577,40,23.637131,0.70809116,exponential,0.045744385,False
0.0046415888,0.021544347,24.75167,25.989254,40,inf,inf,explosive,0.098630264,False
0.0046415888,0.035938137,29.842098,31.334203,40,inf,inf,explosive,0.21239185,False
0.0046415888,0.059948425,35.031171,36.78273,40,inf,inf,explosive,0.48174684,False
0.0046415888,0.1,40.241018,42.253069,40,inf,inf,explosive,1.3822465,False
0.01,0.001,2.5637517,2.6919392,120,2.7238179,0.018265617,plateau,0.0004422839,True
0.01,0.0016681005,3.5087686,3.6842071,120,3.7527488,0.041595428,exponential,0.0010015767,True
0.01,0.0027825594,4.9396196,5.1866006,120,5.358044,0.098749649,exponential,0.0023485856,True
0.01,0.0046415888,7.0051544,7.3554121,120,7.8734225,0.24227781,exponential,0.005584323,False
0.01,0.0077426368,9.8115353,10.302112,120,12.584806,0.64216499,exponential,0.013231745,False
0.01,0.012915497,13.370616,14.039147,40,15.221578,0.43705737,exponential,0.029981653,False
0.01,0.021544347,17.583865,18.463058,40,26.067943,1.2708664,exponential,0.067419045,False
0.01,0.035938137,22.280146,23.394153,40,inf,inf,explosive,0.14910416,False
0.01,0.059948425,27.277986,28.641885,40,inf,inf,explosive,0.33447527,False
0.01,0.1,32.430137,34.051643,40,inf,inf,explosive,0.84097398,False
