mode,alpha,mu,a,gamma,m0,steps,final_M,final_Xi,regime,blowup_step,under_resolved
gamma_threshold_mode_b,1e-05,0.001,8,0.5,20,120,17.790697,0.0029126541,plateau,,True
gamma_threshold_mode_b,1e-05,0.0016681005,8,0.5,20,120,16.414677,0.00260764,plateau,,True
gamma_threshold_mode_b,1e-05,0.0027825594,8,0.5,20,120,14.351181,0.0021995703,plateau,,True
gamma_threshold_mode_b,1e-05,0.0046415888,8,0.5,20,120,11.467507,0.0017131236,plateau,,True
gamma_threshold_mode_b,1e-05,0.0077426368,8,0.5,20,120,7.8822486,0.0012155187,plateau,,True
gamma_threshold_mode_b,1e-05,0.012915497,8,0.5,20,120,4.207752,0.00079076149,plateau,,True
gamma_threshold_mode_b,1e-05,0.021544347,8,0.5,20,120,1.4665394,0.00048757326,plateau,,True
gamma_threshold_mode_b,1e-05,0.035938137,8,0.5,20,120,0.24763614,0.00029686154,plateau,,True
gamma_threshold_mode_b,1e-05,0.059948425,8,0.5,20,120,0.012004422,0.00018223445,plateau,,True
gamma_threshold_mode_b,1e-05,0.1,8,0.5,20,120,6.4593302e-05,0.00011365125,plateau,,True
gamma_threshold_mode_b,2.1544347e-05,0.001,8,0.5,20,120,17.853001,0.0063128611,plateau,,True
gamma_threshold_mode_b,2.1544347e-05,0.0016681005,8,0.5,20,120,16.467889,0.0056482551,plateau,,True
gamma_threshold_mode_b,2.1544347e-05,0.0027825594,8,0.5,20,120,14.392463,0.0047603899,plateau,,True
gamma_threshold_mode_b,2.1544347e-05,0.0046415888,8,0.5,20,120,11.495116,0.0037039194,plateau,,True
gamma_threshold_mode_b,2.1544347e-05,0.0077426368,8,0.5,20,120,7.8969934,0.0026253737,plateau,,True
gamma_threshold_mode_b,2.1544347e-05,0.012915497,8,0.5,20,120,4.2133632,0.001706449,plateau,,True
gamma_threshold_mode_b,2.1544347e-05,0.021544347,8,0.5,20,120,1.4678134,0.0010515064,plateau,,True
gamma_threshold_mode_b,2.1544347e-05,0.035938137,8,0.5,20,120,0.2477651,0.00063995688,plateau,,True
gamma_threshold_mode_b,2.1544347e-05,0.059948425,8,0.5,20,120,0.01200792,0.00039275461,plateau,,True
gamma_threshold_mode_b,2.1544347e-05,0.1,8,0.5,20,120,6.4602984e-05,0.00024490698,plateau,,True
gamma_threshold_mode_b,4.6415888e-05,0.001,8,0.5,20,120,17.9899,0.013779998,plateau,,True
gamma_threshold_mode_b,4.6415888e-05,0.0016681005,8,0.5,20,120,16.584595,0.012312273,plateau,,True
gamma_threshold_mode_b,4.6415888e-05,0.0027825594,8,0.5,20,120,14.48278,0.010357816,plateau,,True
gamma_threshold_mode_b,4.6415888e-05,0.0046415888,8,0.5,20,120,11.555339,0.0080415363,plateau,,True
gamma_threshold_mode_b,4.6415888e-05,0.0077426368,8,0.5,20,120,7.9290546,0.0056872181,plateau,,True
gamma_threshold_mode_b,4.6415888e-05,0.012915497,8,0.5,20,120,4.2255291,0.0036895364,plateau,,True
gamma_threshold_mode_b,4.6415888e-05,0.021544347,8,0.5,20,120,1.4705694,0.0022703488,plateau,,True
gamma_threshold_mode_b,4.6415888e-05,0.035938137,8,0.5,20,120,0.24804363,0.0013805509,plateau,,True
gamma_threshold_mode_b,4.6415888e-05,0.059948425,8,0.5,20,120,0.012015467,0.00084682596,plateau,,True
gamma_threshold_mode_b,4.6415888e-05,0.1,8,0.5,20,120,6.4623865e-05,0.00052788126,plateau,,True
gamma_threshold_mode_b,0.0001,0.001,8,0.5,20,120,18.298006,0.030565297,plateau,,True
gamma_threshold_mode_b,0.0001,0.0016681005,8,0.5,20,120,16.846154,0.027223755,plateau,,True
gamma_threshold_mode_b,0.0001,0.0027825594,8,0.5,20,120,14.684065,0.022806942,plateau,,True
gamma_threshold_mode_b,0.0001,0.0046415888,8,0.5,20,120,11.688656,0.017620096,plateau,,True
gamma_threshold_mode_b,0.0001,0.0077426368,8,0.5,20,120,7.9995312,0.012399851,plateau,,True
gamma_threshold_mode_b,0.0001,0.012915497,8,0.5,20,120,4.2521041,0.0080105365,plateau,,True
gamma_threshold_mode_b,0.0001,0.021544347,8,0.5,20,120,1.47656,0.0049144761,plateau,,True
