mode,alpha,mu,m0,steps,final_M,final_Xi,regime,xi_plateau,under_resolved
B_fixed_seed,1e-05,0.001,10,40,9.6106801,0.00015308671,plateau,1.1890558e-05,True
B_fixed_seed,1e-05,0.0016681005,10,40,9.3568556,0.00014817289,plateau,1.1829197e-05,True
B_fixed_seed,1e-05,0.0027825594,10,40,8.9479274,0.00014046579,plateau,1.17275e-05,True
B_fixed_seed,1e-05,0.0046415888,10,40,8.3042606,0.00012884054,plateau,1.1559677e-05,True
B_fixed_seed,1e-05,0.0077426368,10,40,7.3296766,0.00011235514,plateau,1.1284715e-05,True
B_fixed_seed,1e-05,0.012915497,10,40,5.9466339,9.1085401e-05,plateau,1.0839592e-05,True
B_fixed_seed,1e-05,0.021544347,10,40,4.1852936,6.7167465e-05,plateau,1.0133277e-05,True
B_fixed_seed,1e-05,0.035938137,10,40,2.3134265,4.4798019e-05,plateau,9.0492929e-06,True
B_fixed_seed,1e-05,0.059948425,10,40,0.84354153,2.7883672e-05,plateau,7.4758844e-06,True
B_fixed_seed,1e-05,0.1,10,40,0.14781637,1.7175952e-05,plateau,5.395895e-06,True
B_fixed_seed,2.1544347e-05,0.001,10,40,9.6141209,0.00032996189,plateau,2.5619256e-05,True
B_fixed_seed,2.1544347e-05,0.0016681005,10,40,9.3601408,0.00031936694,plateau,2.5487047e-05,True
B_fixed_seed,2.1544347e-05,0.0027825594,10,40,8.9509699,0.00030274966,plateau,2.5267929e-05,True
B_fixed_seed,2.1544347e-05,0.0046415888,10,40,8.3069408,0.00027768554,plateau,2.4906335e-05,True
B_fixed_seed,2.1544347e-05,0.0077426368,10,40,7.3318522,0.00024214507,plateau,2.43139e-05,True
B_fixed_seed,2.1544347e-05,0.012915497,10,40,5.9481814,0.00019629408,plateau,2.3354835e-05,True
B_fixed_seed,2.1544347e-05,0.021544347,10,40,4.1861846,0.0001447399,plateau,2.1833005e-05,True
B_fixed_seed,2.1544347e-05,0.035938137,10,40,2.3137929,9.6529144e-05,plateau,1.9497451e-05,True
B_fixed_seed,2.1544347e-05,0.059948425,10,40,0.84362947,6.0079321e-05,plateau,1.6107388e-05,True
B_fixed_seed,2.1544347e-05,0.1,10,40,0.14782508,3.7006601e-05,plateau,1.1625862e-05,True
B_fixed_seed,4.6415888e-05,0.001,10,40,9.6215444,0.00071156274,plateau,5.5203482e-05,True
B_fixed_seed,4.6415888e-05,0.0016681005,10,40,9.3672283,0.00068869725,plateau,5.4918596e-05,True
B_fixed_seed,4.6415888e-05,0.0027825594,10,40,8.9575337,0.00065283679,plateau,5.4446439e-05,True
B_fixed_seed,4.6415888e-05,0.0046415888,10,40,8.3127223,0.0005987527,plateau,5.3667272e-05,True
B_fixed_seed,4.6415888e-05,0.0077426368,10,40,7.3365448,0.00052207265,plateau,5.2390689e-05,True
B_fixed_seed,4.6415888e-05,0.012915497,10,40,5.9515188,0.00042316541,plateau,5.032409e-05,True
B_fixed_seed,4.6415888e-05,0.021544347,10,40,4.1881057,0.00031198126,plateau,4.7044847e-05,True
B_fixed_seed,4.6415888e-05,0.035938137,10,40,2.3145828,0.00020803418,plateau,4.2012205e-05,True
B_fixed_seed,4.6415888e-05,0.059948425,10,40,0.84381901,0.00012946376,plateau,3.4707347e-05,True
B_fixed_seed,4.6415888e-05,0.1,10,40,0.14784386,7.9738214e-05,plateau,2.5050685e-05,True
B_fixed_seed,0.0001,0.001,10,40,9.6375867,0.0015361888,plateau,0.00011897162,True
