variant,alpha,mu,a,m0,steps,final_M,final_Xi,regime,blowup_step
baseline,1e-05,0.001,8,10,40,9.6106801,0.00015308671,plateau,
baseline,1e-05,0.0019306977,8,10,40,9.2588899,0.00014630321,plateau,
baseline,1e-05,0.0037275937,8,10,40,8.6148663,0.00013437461,plateau,
baseline,1e-05,0.0071968567,8,10,40,7.4927107,0.00011502287,plateau,
baseline,1e-05,0.013894955,8,10,40,5.715086,8.7749884e-05,plateau,
baseline,1e-05,0.026826958,8,10,40,3.3703443,5.71165e-05,plateau,
baseline,1e-05,0.051794747,8,10,40,1.1916236,3.2045171e-05,plateau,
baseline,1e-05,0.1,8,10,40,0.1478173,1.7275552e-05,plateau,
baseline,2.6826958e-05,0.001,8,10,40,9.6156964,0.00041095116,plateau,
baseline,2.6826958e-05,0.0019306977,8,10,40,9.2635934,0.00039273199,plateau,
baseline,2.6826958e-05,0.0037275937,8,10,40,8.6190242,0.00036069598,plateau,
baseline,2.6826958e-05,0.0071968567,8,10,40,7.4960001,0.00030872918,plateau,
baseline,2.6826958e-05,0.013894955,8,10,40,5.717203,0.000235502,plateau,
baseline,2.6826958e-05,0.026826958,8,10,40,3.371278,0.00015326889,plateau,
baseline,2.6826958e-05,0.051794747,8,10,40,1.1918306,8.5981283e-05,plateau,
baseline,2.6826958e-05,0.1,8,10,40,0.14783155,4.6348911e-05,plateau,
baseline,7.1968567e-05,0.001,8,10,40,9.6291861,0.001104377,plateau,
baseline,7.1968567e-05,0.0019306977,8,10,40,9.2762407,0.0010553481,plateau,
baseline,7.1968567e-05,0.0037275937,8,10,40,8.6302034,0.0009691509,plateau,
baseline,7.1968567e-05,0.0071968567,8,10,40,7.5048422,0.00082936449,plateau,
baseline,7.1968567e-05,0.013894955,8,10,40,5.7228915,0.00063247046,plateau,
baseline,7.1968567e-05,0.026826958,8,10,40,3.3737859,0.00041148143,plateau,
baseline,7.1968567e-05,0.051794747,8,10,40,1.1923863,0.00023076129,plateau,
baseline,7.1968567e-05,0.1,8,10,40,0.14786981,0.00012436783,plateau,
baseline,0.00019306977,0.001,8,10,40,9.6656105,0.0029766249,plateau,
baseline,0.00019306977,0.0019306977,8,10,40,9.3103838,0.0028439876,plateau,
baseline,0.00019306977,0.0037275937,8,10,40,8.6603722,0.0026108982,plateau,
baseline,0.00019306977,0.0071968567,8,10,40,7.52869,0.0022331692,plateau,
baseline,0.00019306977,0.013894955,8,10,40,5.7382201,0.001701716,plateau,
baseline,0.00019306977,0.026826958,8,10,40,3.3805361,0.0011061003,plateau,
baseline,0.00019306977,0.051794747,8,10,40,1.1938803,0.0006197809,plateau,
baseline,0.00019306977,0.1,8,10,40,0.14797257,0.00033384128,plateau,
baseline,0.00051794747,0.001,8,10,40,9.7650585,0.0080874927,plateau,
baseline,0.00051794747,0.0019306977,8,10,40,9.4035528,0.0077234731,plateau,
baseline,0.00051794747,0.0037275937,8,10,40,8.7426164,0.0070845115,plateau,
baseline,0.00051794747,0.0071968567,8,10,40,7.5935966,0.0060511019,plateau,
baseline,0.00051794747,0.013894955,8,10,40,5.7798385,0.0046015393,plateau,
baseline,0.00051794747,0.026826958,8,10,40,3.3988069,0.0029834488,plateau,
baseline,0.00051794747,0.051794747,8,10,40,1.1979116,0.0016678805,plateau,
baseline,0.00051794747,0.1,8,10,40,0.14824908,0.00089703938,plateau,
baseline,0.0013894955,0.001,8,10,120,10.146113,0.069350814,plateau,
baseline,0.0013894955,0.0019306977,8,10,120,8.9670871,0.059822653,plateau,
baseline,0.0013894955,0.0037275937,8,10,120,7.0922102,0.046268298,plateau,
baseline,0.0013894955,0.0071968567,8,10,120,4.5511146,0.030652219,plateau,
baseline,0.0013894955,0.013894955,8,10,40,5.8952012,0.012614989,plateau,
baseline,0.0013894955,0.026826958,8,10,40,3.4490213,0.0081223645,plateau,
baseline,0.0013894955,0.051794747,8,10,40,1.2088969,0.0045123169,plateau,
baseline,0.0013894955,0.1,8,10,40,0.14899714,0.0024169534,plateau,
baseline,0.0037275937,0.001,8,10,120,14.038806,0.27733464,exponential,
baseline,0.0037275937,0.0019306977,8,10,120,11.889045,0.22455446,exponential,
baseline,0.0037275937,0.0037275937,8,10,120,8.8787772,0.15994045,plateau,
baseline,0.0037275937,0.0071968567,8,10,120,5.3356878,0.097035636,plateau,
